iter	Passed	Remaining
0	8	8498
1	10	4997
2	11	3754
3	13	3274
4	14	2879
5	15	2576
6	17	2425
7	18	2315
8	19	2152
9	20	2058
10	22	1988
11	23	1912
12	24	1835
13	25	1772
14	26	1712
15	27	1661
16	28	1627
17	29	1591
18	29	1529
19	30	1498
20	31	1479
21	32	1451
22	33	1425
23	34	1406
24	35	1387
25	36	1368
26	37	1351
27	38	1346
28	39	1331
29	40	1316
30	41	1300
31	42	1288
32	43	1287
33	45	1301
34	46	1289
35	47	1284
36	48	1270
37	49	1261
38	50	1250
39	51	1240
40	53	1242
41	54	1234
42	55	1225
43	56	1218
44	57	1211
45	58	1203
46	59	1198
47	60	1201
48	61	1193
49	62	1187
50	63	1179
51	64	1171
52	65	1166
53	66	1159
54	67	1153
55	68	1147
56	69	1141
57	70	1136
58	70	1132
59	71	1127
60	72	1123
61	74	1128
62	76	1131
63	77	1138
64	78	1134
65	79	1128
66	80	1119
67	81	1114
68	82	1109
69	83	1104
70	84	1100
71	85	1096
72	86	1092
73	86	1088
74	87	1085
75	88	1081
76	89	1077
77	90	1072
78	91	1068
79	92	1064
80	93	1060
81	94	1057
82	95	1053
83	96	1051
84	97	1048
85	98	1044
86	99	1041
87	100	1037
88	101	1035
89	102	1032
90	102	1028
91	103	1025
92	104	1022
93	105	1019
94	106	1016
95	107	1013
96	108	1010
97	109	1007
98	110	1004
99	111	1001
100	112	999
101	113	997
102	114	994
103	115	992
104	116	989
105	116	985
106	117	982
107	118	979
108	119	976
109	120	974
110	121	972
111	122	970
112	123	967
113	124	965
114	125	963
115	126	962
116	127	960
117	128	957
118	129	955
119	130	953
120	130	951
121	131	949
122	132	947
123	133	945
124	134	944
125	135	943
126	136	936
127	137	937
128	138	936
129	139	934
130	140	932
131	141	930
132	142	928
133	143	926
134	144	924
135	145	922
136	146	920
137	147	918
138	148	916
139	149	917
140	150	916
141	151	914
142	152	911
143	153	909
144	153	907
145	154	905
146	155	903
147	156	901
148	157	899
149	158	897
150	159	895
151	160	894
152	160	889
153	161	888
154	162	886
155	163	885
156	164	884
157	165	883
158	167	885
159	168	883
160	169	881
161	170	880
162	171	879
163	172	877
164	173	877
165	174	875
166	175	874
167	177	876
168	178	878
169	179	877
170	180	876
171	181	874
172	182	872
173	183	870
174	184	869
175	185	867
176	186	865
177	187	864
178	188	862
179	188	860
180	189	859
181	190	857
182	191	856
183	192	854
184	193	853
185	194	851
186	195	850
187	196	848
188	197	847
189	198	845
190	199	844
191	200	843
192	201	842
193	202	841
194	203	840
195	204	839
196	205	839
197	207	838
198	208	838
199	209	837
200	210	836
201	211	835
202	212	833
203	213	831
204	214	830
205	215	829
206	216	827
207	216	826
208	217	824
209	218	823
210	219	822
211	220	820
212	221	818
213	222	817
214	223	815
215	224	813
216	225	812
217	226	810
218	226	809
219	227	807
220	228	806
221	229	805
222	230	803
223	231	802
224	232	801
225	233	799
226	234	798
227	235	796
228	236	795
229	237	793
230	238	792
231	238	790
232	239	789
233	241	789
234	242	787
235	242	786
236	243	784
237	244	783
238	245	782
239	246	780
240	247	779
241	248	777
242	249	775
243	250	774
244	250	773
245	251	772
246	252	770
247	253	769
248	254	768
249	255	766
250	256	765
251	257	763
252	258	762
253	259	760
254	259	759
255	260	758
256	261	757
257	262	755
258	263	754
259	264	752
260	265	751
261	266	750
262	267	748
263	268	747
264	269	747
265	270	746
266	271	745
267	272	744
268	273	743
269	274	741
270	275	740
271	276	739
272	277	738
273	278	736
274	279	735
275	279	734
276	280	733
277	281	732
278	282	730
279	283	729
280	284	728
281	285	727
282	286	725
283	287	724
284	288	723
285	289	722
286	290	720
287	291	719
288	292	718
289	293	717
290	294	716
291	295	715
292	296	714
293	296	713
294	297	712
295	298	710
296	300	710
297	300	709
298	301	707
299	302	706
300	303	705
301	304	704
302	305	703
303	306	702
304	307	701
305	308	699
306	309	698
307	310	696
308	311	695
309	311	694
310	312	692
311	313	691
312	314	690
313	315	689
314	316	688
315	317	687
316	318	686
317	319	686
318	320	684
319	321	683
320	322	682
321	323	681
322	324	680
323	325	679
324	326	678
325	327	677
326	328	675
327	329	674
328	330	673
329	331	672
330	332	671
331	333	671
332	334	670
333	335	669
334	336	668
335	337	667
336	338	665
337	339	664
338	340	663
339	341	662
340	342	661
341	343	660
342	344	659
343	345	658
344	346	658
345	347	657
346	348	656
347	349	655
348	351	654
349	352	654
350	353	653
351	354	652
352	355	651
353	356	650
354	357	649
355	358	648
356	359	648
357	361	647
358	362	647
359	363	646
360	364	645
361	365	643
362	366	642
363	367	641
364	368	640
365	369	639
366	370	638
367	371	637
368	372	636
369	373	635
370	374	634
371	375	633
372	376	632
373	377	631
374	377	629
375	378	628
376	379	627
377	380	626
378	381	625
379	382	624
380	383	623
381	384	622
382	385	621
383	386	620
384	387	618
385	388	618
386	389	617
387	391	617
388	392	616
389	393	615
390	394	614
391	395	613
392	396	612
393	397	611
394	398	610
395	399	609
396	400	608
397	401	607
398	402	606
399	403	605
400	404	604
401	405	603
402	406	601
403	407	600
404	408	599
405	409	598
406	410	597
407	411	596
408	412	595
409	413	594
410	414	593
411	415	592
412	416	591
413	417	590
414	418	589
415	420	589
416	421	589
417	422	588
418	423	587
419	424	586
420	425	585
421	427	584
422	428	584
423	429	583
424	430	582
425	431	581
426	433	581
427	434	580
428	435	579
429	436	578
430	437	577
431	438	576
432	439	575
433	440	574
434	441	573
435	442	572
436	443	571
437	444	570
438	446	570
439	447	569
440	448	568
441	449	567
442	450	566
443	452	566
444	453	565
445	454	564
446	455	563
447	456	562
448	457	561
449	458	560
450	460	560
451	461	559
452	462	558
453	463	557
454	464	556
455	465	555
456	466	554
457	467	553
458	468	552
459	469	551
460	470	550
461	471	549
462	472	548
463	474	547
464	475	546
465	476	545
466	477	544
467	478	543
468	479	542
469	480	541
470	481	540
471	482	539
472	483	538
473	484	537
474	485	536
475	486	535
476	487	534
477	488	533
478	489	532
479	490	531
480	492	530
481	493	529
482	494	529
483	495	528
484	496	527
485	497	526
486	498	525
487	499	524
488	500	522
489	501	521
490	502	520
491	503	519
492	504	518
493	505	517
494	506	516
495	507	515
496	509	515
497	510	514
498	511	513
499	513	513
500	514	512
501	515	511
502	516	510
503	517	509
504	518	508
505	520	507
506	521	506
507	522	505
508	523	504
509	524	504
510	526	503
511	527	503
512	528	502
513	530	501
514	531	500
515	532	499
516	533	498
517	534	497
518	536	496
519	539	497
520	540	497
521	541	496
522	542	495
523	543	494
524	545	493
525	546	492
526	547	491
527	548	489
528	549	489
529	550	488
530	551	486
531	552	485
532	553	484
533	554	483
534	555	482
535	556	481
536	557	480
537	558	479
538	559	478
539	560	477
540	561	476
541	562	475
542	563	474
543	564	472
544	565	471
545	566	470
546	567	469
547	568	468
548	569	467
549	570	466
550	571	465
551	573	465
552	575	465
553	576	464
554	577	463
555	578	462
556	579	461
557	580	460
558	581	459
559	582	457
560	583	456
561	584	455
562	585	454
563	586	453
564	587	452
565	588	451
566	589	450
567	590	449
568	591	448
569	592	447
570	593	446
571	594	444
572	595	443
573	596	442
574	597	441
575	598	440
576	599	439
577	600	438
578	602	437
579	603	436
580	604	435
581	605	434
582	606	433
583	607	432
584	608	431
585	609	430
586	610	429
587	611	428
588	612	427
589	614	426
590	615	425
591	616	425
592	617	424
593	618	423
594	619	421
595	620	420
596	621	419
597	622	418
598	624	417
599	625	416
600	626	415
601	627	414
602	628	413
603	629	412
604	630	411
605	631	410
606	632	409
607	633	408
608	634	407
609	635	406
610	636	405
611	637	404
612	638	403
613	639	402
614	640	401
615	641	400
616	642	399
617	643	397
618	644	396
619	645	395
620	646	394
621	647	393
622	648	392
623	649	391
624	650	390
625	651	389
626	652	388
627	653	387
628	654	386
629	655	385
630	656	384
631	657	382
632	658	381
633	659	380
634	660	379
635	661	378
636	662	377
637	663	376
638	664	375
639	665	374
640	666	373
641	667	372
642	668	371
643	669	370
644	670	368
645	671	368
646	672	366
647	673	365
648	674	364
649	675	363
650	676	362
651	677	361
652	678	360
653	679	359
654	680	358
655	681	357
656	682	356
657	683	355
658	684	354
659	685	353
660	686	352
661	687	351
662	688	350
663	689	348
664	690	347
665	691	346
666	693	346
667	694	344
668	695	343
669	695	342
670	696	341
671	697	340
672	699	339
673	700	338
674	701	337
675	702	336
676	703	335
677	705	334
678	706	333
679	707	332
680	708	331
681	709	330
682	710	329
683	711	328
684	712	327
685	713	326
686	714	325
687	715	324
688	716	323
689	719	323
690	722	322
691	725	322
692	727	322
693	729	321
694	732	321
695	735	321
696	737	320
697	738	319
698	740	318
699	741	317
700	742	316
701	743	315
702	744	314
703	746	313
704	747	312
705	748	311
706	749	310
707	751	309
708	752	308
709	753	307
710	754	306
711	754	305
712	755	304
713	756	303
714	757	302
715	758	300
716	759	299
717	760	298
718	761	297
719	762	296
720	763	295
721	764	294
722	765	293
723	766	292
724	767	291
725	768	289
726	769	288
727	770	287
728	771	286
729	772	285
730	773	284
731	774	283
732	775	282
733	776	281
734	777	280
735	777	279
736	778	277
737	779	276
738	780	275
739	781	274
740	782	273
741	784	272
742	784	271
743	785	270
744	786	269
745	787	268
746	788	267
747	789	266
748	790	264
749	791	263
750	792	262
751	793	261
752	794	260
753	795	259
754	796	258
755	797	257
756	798	256
757	799	255
758	800	254
759	801	253
760	802	252
761	803	250
762	804	249
763	805	248
764	806	247
765	807	246
766	808	245
767	809	244
768	809	243
769	810	242
770	811	241
771	813	240
772	814	239
773	815	238
774	816	236
775	817	235
776	818	234
777	819	233
778	820	232
779	821	231
780	821	230
781	822	229
782	823	228
783	824	227
784	825	226
785	827	225
786	828	224
787	828	223
788	829	221
789	830	220
790	831	219
791	832	218
792	833	217
793	834	216
794	835	215
795	836	214
796	836	213
797	837	212
798	838	211
799	839	209
800	840	208
801	841	207
802	842	206
803	843	205
804	844	204
805	845	203
806	846	202
807	846	201
808	847	200
809	848	199
810	849	198
811	850	197
812	851	195
813	852	194
814	853	193
815	854	192
816	855	191
817	856	190
818	857	189
819	858	188
820	860	187
821	861	186
822	862	185
823	863	184
824	864	183
825	865	182
826	866	181
827	867	180
828	868	179
829	869	178
830	870	177
831	871	175
832	872	174
833	873	173
834	874	172
835	875	171
836	876	170
837	877	169
838	878	168
839	879	167
840	880	166
841	881	165
842	882	164
843	883	163
844	884	162
845	885	161
846	886	160
847	887	159
848	889	158
849	890	157
850	891	156
851	892	155
852	893	153
853	894	152
854	895	151
855	896	150
856	897	149
857	898	148
858	899	147
859	900	146
860	902	145
861	903	144
862	905	143
863	908	143
864	910	142
865	911	140
866	912	139
867	913	138
868	914	137
869	915	136
870	916	135
871	917	134
872	918	133
873	919	132
874	920	131
875	921	130
876	922	129
877	923	128
878	924	127
879	925	126
880	926	125
881	927	124
882	928	123
883	929	121
884	930	120
885	931	119
886	932	118
887	933	117
888	935	116
889	935	115
890	936	114
891	937	113
892	938	112
893	939	111
894	940	110
895	941	109
896	942	108
897	943	107
898	944	106
899	945	105
900	946	103
901	947	102
902	948	101
903	949	100
904	950	99
905	951	98
906	952	97
907	953	96
908	954	95
909	954	94
910	955	93
911	956	92
912	957	91
913	958	90
914	959	89
915	960	88
916	961	87
917	962	85
918	963	84
919	964	83
920	965	82
921	966	81
922	967	80
923	968	79
924	969	78
925	970	77
926	971	76
927	972	75
928	973	74
929	974	73
930	975	72
931	976	71
932	977	70
933	978	69
934	979	68
